date,dte,pe_strike,ce_strike,entry_premium,exit_premium,exit_reason,pnl,entry_index,exit_index,entry_time,exit_time,stoploss_price,target_price,param_set_rank,filename,week_number,source_file
2025-10-13,1DTE,25200,25200,158.8,118.75,Time Exit,2002.5000000000005,25216.0,25235.25,09:20:00,15:20:00,293.78000000000003,39.7,7,nifty_options_20251014.csv,42,detailed_trades_rank_7_20260202_180056.csv
2025-10-14,ODTE,25300,25300,95.1,178.5,Stoploss,-4170.0,25301.75,25132.05,09:20:00,11:20:00,175.935,23.775,7,nifty_options_20251014.csv,42,detailed_trades_rank_7_20260202_180056.csv
2025-10-14,4DTE,25300,25300,263.65,286.0,Time Exit,-1117.5000000000011,25301.75,25126.85,09:20:00,15:20:00,487.7525,65.9125,7,nifty_options_20251020.csv,43,detailed_trades_rank_7_20260202_180056.csv
2025-10-15,3DTE,25250,25250,240.25,251.9,Time Exit,-582.5000000000002,25242.55,25333.15,09:20:00,15:20:00,444.4625,60.0625,7,nifty_options_20251020.csv,43,detailed_trades_rank_7_20260202_180056.csv
2025-10-16,2DTE,25400,25400,206.4,270.15,Time Exit,-3187.499999999998,25413.6,25574.8,09:20:00,15:20:00,381.84,51.6,7,nifty_options_20251020.csv,43,detailed_trades_rank_7_20260202_180056.csv
2025-10-17,1DTE,25550,25550,175.95,238.9,Time Exit,-3147.500000000001,25556.45,25703.9,09:20:00,15:20:00,325.5075,43.9875,7,nifty_options_20251020.csv,43,detailed_trades_rank_7_20260202_180056.csv
2025-10-20,ODTE,25850,25850,114.25,25.45,Profit Target,4440.0,25859.15,25821.65,09:20:00,14:55:00,211.3625,28.5625,7,nifty_options_20251020.csv,43,detailed_trades_rank_7_20260202_180056.csv
2025-10-23,3DTE,26050,26050,260.6,236.6,Time Exit,1200.0000000000014,26028.55,25872.8,09:20:00,15:20:00,482.11000000000007,65.15,7,nifty_options_20251028.csv,44,detailed_trades_rank_7_20260202_180056.csv
2025-10-24,2DTE,25900,25900,223.35,206.25,Time Exit,854.9999999999998,25886.0,25796.45,09:20:00,15:20:00,413.1975,55.8375,7,nifty_options_20251028.csv,44,detailed_trades_rank_7_20260202_180056.csv
2025-10-27,1DTE,25900,25900,160.8,176.8,Time Exit,-800.0,25880.95,25967.25,09:20:00,15:20:00,297.48,40.2,7,nifty_options_20251028.csv,44,detailed_trades_rank_7_20260202_180056.csv
